time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,4,10,4,2,0.033631505
1,4,10,4,2,0.43177875
2,4,10,4,2,0.145408764
3,4,10,4,2,0.097979615
4,4,10,4,2,0.040522477
5,4,10,4,2,0.494985819
6,4,10,4,2,0.486252701
7,4,10,4,2,0.251717341
8,4,10,4,2,0.346195878
9,4,10,4,2,0.206886836
0,4,10,4,4,0.351018252
1,4,10,4,4,0.162293166
2,4,10,4,4,0.078690308
3,4,10,4,4,0.290112209
4,4,10,4,4,0.05842427
5,4,10,4,4,0.269063668
6,4,10,4,4,0.144112033
7,4,10,4,4,0.386545266
8,4,10,4,4,0.158521379
9,4,10,4,4,0.271572744
0,4,10,4,8,0.167065689
1,4,10,4,8,0.306608609
2,4,10,4,8,0.041848747
3,4,10,4,8,0.173461837
4,4,10,4,8,0.109997815
5,4,10,4,8,0.261182777
6,4,10,4,8,0.237165483
7,4,10,4,8,0.133941022
8,4,10,4,8,0.164609782
9,4,10,4,8,0.2534997
0,4,10,4,16,0.151665911
1,4,10,4,16,0.292824104
2,4,10,4,16,0.138216109
3,4,10,4,16,0.087144361
4,4,10,4,16,0.136917148
5,4,10,4,16,0.017707683
6,4,10,4,16,0.060539368
7,4,10,4,16,0.097682033
8,4,10,4,16,0.157984561
9,4,10,4,16,0.098328803
0,4,20,4,2,0.008924744
1,4,20,4,2,0.329155166
2,4,20,4,2,0.027876467
3,4,20,4,2,0.348048839
4,4,20,4,2,0.598666976
5,4,20,4,2,0.211443935
6,4,20,4,2,0.068675318
7,4,20,4,2,0.098725801
8,4,20,4,2,0.362090677
9,4,20,4,2,0.019995424
0,4,20,4,4,0.592157092
1,4,20,4,4,0.037123554
2,4,20,4,4,0.049028659
3,4,20,4,4,0.156633143
4,4,20,4,4,0.482697032
5,4,20,4,4,0.205653692
6,4,20,4,4,0.340878551
9,4,20,4,4,0.002960055
0,4,20,4,8,0.103247952
1,4,20,4,8,0.053798549
2,4,20,4,8,0.040651965
3,4,20,4,8,0.097054518
4,4,20,4,8,0.126460675
5,4,20,4,8,0.01186976
6,4,20,4,8,0.120988329
7,4,20,4,8,0.16274277
8,4,20,4,8,0.068634419
9,4,20,4,8,0.197125302
0,4,20,4,16,0.146242511
2,4,20,4,16,0.074307572
3,4,20,4,16,0.014538304
4,4,20,4,16,0.018742
5,4,20,4,16,0.027923237
6,4,20,4,16,0.029763239
7,4,20,4,16,0.041019599
8,4,20,4,16,0.076099844
9,4,20,4,16,0.100386949
0,4,30,4,2,0.225532824
1,4,30,4,2,0.251121395
2,4,30,4,2,0.215886609
3,4,30,4,2,0.020047725
4,4,30,4,2,0.029883614
5,4,30,4,2,0.167791274
6,4,30,4,2,0.129177261
8,4,30,4,2,0.27199223
9,4,30,4,2,0.193629608
0,4,30,4,4,0.385047726
1,4,30,4,4,0.24010471
2,4,30,4,4,0.083055413
3,4,30,4,4,0.066107976
4,4,30,4,4,0.417319324
5,4,30,4,4,0.054601123
6,4,30,4,4,0.19821897
7,4,30,4,4,0.102745089
8,4,30,4,4,0.04503219
9,4,30,4,4,0.017633572
2,4,30,4,8,0.051447593
3,4,30,4,8,0.035206729
4,4,30,4,8,0.056081508
5,4,30,4,8,0.032166222
6,4,30,4,8,0.092060963
7,4,30,4,8,0.22643765
8,4,30,4,8,0.017040424
9,4,30,4,8,0.003062028
0,4,30,4,16,0.039624252
1,4,30,4,16,0.019860651
2,4,30,4,16,0.022773224
3,4,30,4,16,0.016945638
4,4,30,4,16,0.024018859
5,4,30,4,16,0.03834485
6,4,30,4,16,0.048559164
7,4,30,4,16,0.023318144
8,4,30,4,16,0.054224944
9,4,30,4,16,0.066862023
0,4,10,4,32,0.123783424
1,4,10,4,32,0.052744482
2,4,10,4,32,0.044927267
3,4,10,4,32,0.017086833
4,4,10,4,32,0.063735566
5,4,10,4,32,0.06370027
6,4,10,4,32,0.118495853
7,4,10,4,32,0.131656324
8,4,10,4,32,0.212340723
9,4,10,4,32,0.218537885
0,4,10,4,64,0.134860717
1,4,10,4,64,0.03949504
2,4,10,4,64,0.026454918
3,4,10,4,64,0.064955527
4,4,10,4,64,0.031359878
5,4,10,4,64,0.066226733
6,4,10,4,64,0.030415092
7,4,10,4,64,0.041396772
8,4,10,4,64,0.063957448
9,4,10,4,64,0.058846356
0,4,20,4,32,0.02193397
1,4,20,4,32,0.010872577
2,4,20,4,32,0.029108677
3,4,20,4,32,0.035925963
4,4,20,4,32,0.020615386
5,4,20,4,32,0.029926787
6,4,20,4,32,0.04440796
7,4,20,4,32,0.014549105
8,4,20,4,32,0.018796938
9,4,20,4,32,0.021344371
0,4,20,4,64,0.033515374
1,4,20,4,64,0.015293799
2,4,20,4,64,0.019064375
3,4,20,4,64,0.014915448
4,4,20,4,64,0.017481187
5,4,20,4,64,0.054106425
6,4,20,4,64,0.014269511
8,4,20,4,64,0.036069704
9,4,20,4,64,0.031971733
0,4,30,4,32,0.049901752
1,4,30,4,32,0.009461107
2,4,30,4,32,0.010038747
3,4,30,4,32,0.024608673
4,4,30,4,32,0.017338002
5,4,30,4,32,0.023856904
6,4,30,4,32,0.006614287
7,4,30,4,32,0.022862059
8,4,30,4,32,0.007637766
9,4,30,4,32,0.023989936
0,4,30,4,64,0.010523243
1,4,30,4,64,0.012041608
2,4,30,4,64,0.019033058
3,4,30,4,64,0.008179135
4,4,30,4,64,0.01123096
5,4,30,4,64,0.008600627
6,4,30,4,64,0.019109305
7,4,30,4,64,0.023888875
9,4,30,4,64,0.012756917
0,4,10,4,1,0.187407944
1,4,10,4,1,0.081175437
2,4,10,4,1,0.218136284
3,4,10,4,1,0.924514919
4,4,10,4,1,0.751235826
5,4,10,4,1,0.292596202
6,4,10,4,1,0.912340792
7,4,10,4,1,0.987563249
8,4,10,4,1,0.418225291
9,4,10,4,1,0.083945567
0,4,20,4,1,0.748963313
1,4,20,4,1,0.056615016
2,4,20,4,1,0.070949725
3,4,20,4,1,0.787741962
4,4,20,4,1,0.026231273
5,4,20,4,1,0.905570004
6,4,20,4,1,0.224848446
7,4,20,4,1,0.013609431
8,4,20,4,1,0.619352025
9,4,20,4,1,0.823561568
0,4,30,4,1,0.927820053
1,4,30,4,1,0.085597196
2,4,30,4,1,0.275504826
3,4,30,4,1,0.068958095
5,4,30,4,1,0.216544873
6,4,30,4,1,0.134083896
7,4,30,4,1,0.013259976
8,4,30,4,1,0.858316819
9,4,30,4,1,0.171735553
2,4,40,4,1,0.008063835
3,4,40,4,1,0.703964616
4,4,40,4,1,0.65516044
5,4,40,4,1,0.001331826
6,4,40,4,1,0.548786032
7,4,40,4,1,0.426774733
8,4,40,4,1,0.152811912
9,4,40,4,1,0.586488515
0,4,40,4,2,0.362337066
1,4,40,4,2,0.084115967
5,4,40,4,2,0.435150046
6,4,40,4,2,0.37683299
7,4,40,4,2,0.205790601
9,4,40,4,2,0.185988064
0,4,40,4,4,0.02474607
1,4,40,4,4,0.017241418
2,4,40,4,4,0.067726198
3,4,40,4,4,0.409750053
4,4,40,4,4,0.121468294
6,4,40,4,4,0.094570843
8,4,40,4,4,0.272541434
0,4,40,4,8,0.051745392
1,4,40,4,8,0.060267281
2,4,40,4,8,0.020537828
3,4,40,4,8,0.038667038
4,4,40,4,8,0.099825801
6,4,40,4,8,0.04808365
8,4,40,4,8,0.077139639
3,4,40,4,16,0.007689537
5,4,40,4,16,0.053926124
6,4,40,4,16,0.016962271
7,4,40,4,16,0.023169624
8,4,40,4,16,0.028070832
0,4,40,4,32,0.009372771
1,4,40,4,32,0.010077554
2,4,40,4,32,0.01600754
3,4,40,4,32,0.005697649
4,4,40,4,32,0.008188905
5,4,40,4,32,0.017405761
6,4,40,4,32,0.005471445
9,4,40,4,32,0.010710783
1,4,40,4,64,0.004606437
2,4,40,4,64,0.006569133
3,4,40,4,64,0.00411778
4,4,40,4,64,0.003007255
5,4,40,4,64,0.001819124
6,4,40,4,64,0.017533495
7,4,40,4,64,0.005522936
8,4,40,4,64,0.01605725
9,4,40,4,64,0.009246535
0,4,50,4,1,0.780185339
1,4,50,4,1,0.14979707
2,4,50,4,1,0.513523398
3,4,50,4,1,0.013559721
4,4,50,4,1,0.00167821
5,4,50,4,1,0.061581973
6,4,50,4,1,0.138499788
7,4,50,4,1,0.080027785
8,4,50,4,1,0.260121904
9,4,50,4,1,0.66307484
0,4,50,4,2,0.094674105
1,4,50,4,2,0.566975122
2,4,50,4,2,0.040079009
3,4,50,4,2,0.497288836
4,4,50,4,2,0.200205841
5,4,50,4,2,0.185530572
6,4,50,4,2,0.02522483
7,4,50,4,2,0.075715084
8,4,50,4,2,0.007026116
9,4,50,4,2,0.386381131
0,4,50,4,4,0.058478925
1,4,50,4,4,0.017806986
2,4,50,4,4,0.160368725
3,4,50,4,4,0.065906745
4,4,50,4,4,0.106434747
5,4,50,4,4,0.046632754
6,4,50,4,4,0.284934087
7,4,50,4,4,0.076136735
8,4,50,4,4,0.0448549
9,4,50,4,4,0.072306253
0,4,50,4,8,0.044106678
1,4,50,4,8,0.064261895
2,4,50,4,8,0.044882859
3,4,50,4,8,0.073420462
4,4,50,4,8,0.096041619
5,4,50,4,8,0.011626107
6,4,50,4,8,0.38039031
7,4,50,4,8,0.024145573
8,4,50,4,8,0.036395559
9,4,50,4,8,0.020576161
0,4,50,4,16,0.036394147
1,4,50,4,16,0.004361579
2,4,50,4,16,0.005682847
3,4,50,4,16,0.005788937
4,4,50,4,16,0.035155106
5,4,50,4,16,0.037724667
6,4,50,4,16,0.007808095
7,4,50,4,16,0.007371562
8,4,50,4,16,0.027058732
9,4,50,4,16,0.007492895
0,4,50,4,32,0.020134676
1,4,50,4,32,0.006618003
2,4,50,4,32,0.023814368
3,4,50,4,32,0.009847936
4,4,50,4,32,0.010268441
5,4,50,4,32,0.009429464
6,4,50,4,32,0.025132959
7,4,50,4,32,0.006410995
8,4,50,4,32,0.015626396
9,4,50,4,32,0.003423938
0,4,50,4,64,0.009831936
1,4,50,4,64,0.01104873
2,4,50,4,64,0.007063033
3,4,50,4,64,0.009792342
4,4,50,4,64,0.009296693
5,4,50,4,64,0.011021599
6,4,50,4,64,0.009625189
7,4,50,4,64,0.015222391
8,4,50,4,64,0.0039576
9,4,50,4,64,0.005638293
0,4,10,4,128,0.045892021
1,4,10,4,128,0.021880571
2,4,10,4,128,0.06651846
3,4,10,4,128,0.085398235
4,4,10,4,128,0.034885107
5,4,10,4,128,0.030173279
6,4,10,4,128,0.048387976
7,4,10,4,128,0.069846825
8,4,10,4,128,0.087081672
9,4,10,4,128,0.032553314
0,4,10,4,256,0.043818336
1,4,10,4,256,0.052614931
2,4,10,4,256,0.027188297
3,4,10,4,256,0.028601934
4,4,10,4,256,0.017043226
5,4,10,4,256,0.199847405
6,4,10,4,256,0.044106405
7,4,10,4,256,0.033810808
8,4,10,4,256,0.052607967
9,4,10,4,256,0.052867358
0,4,10,4,512,0.02826513
1,4,10,4,512,0.020017966
2,4,10,4,512,0.02434688
3,4,10,4,512,0.052895124
4,4,10,4,512,0.036652044
5,4,10,4,512,0.06260408
6,4,10,4,512,0.039524834
7,4,10,4,512,0.022744851
8,4,10,4,512,0.049136442
9,4,10,4,512,0.035899481
1,4,20,4,128,0.010973951
2,4,20,4,128,0.032098228
3,4,20,4,128,0.005270759
4,4,20,4,128,0.021054336
5,4,20,4,128,0.035925587
6,4,20,4,128,0.026598928
7,4,20,4,128,0.03074733
8,4,20,4,128,0.015980354
9,4,20,4,128,0.026087015
0,4,20,4,256,0.024899316
1,4,20,4,256,0.021457614
2,4,20,4,256,0.016318184
3,4,20,4,256,0.027387335
4,4,20,4,256,0.014712099
5,4,20,4,256,0.011246728
6,4,20,4,256,0.015063797
7,4,20,4,256,0.015453122
8,4,20,4,256,0.016317495
9,4,20,4,256,0.013540431
0,4,20,4,512,0.016838112
1,4,20,4,512,0.013354856
2,4,20,4,512,0.018080574
3,4,20,4,512,0.013701504
4,4,20,4,512,0.01875371
5,4,20,4,512,0.011697207
6,4,20,4,512,0.006693484
7,4,20,4,512,0.017429785
8,4,20,4,512,0.011697016
9,4,20,4,512,0.015661682
0,4,30,4,128,0.006343138
1,4,30,4,128,0.011730333
2,4,30,4,128,0.003680695
3,4,30,4,128,0.003310255
4,4,30,4,128,0.006475214
5,4,30,4,128,0.007186062
6,4,30,4,128,0.005817516
7,4,30,4,128,0.008543496
8,4,30,4,128,0.011376347
9,4,30,4,128,0.009136982
0,4,30,4,256,0.005958597
1,4,30,4,256,0.004873175
2,4,30,4,256,0.009295955
3,4,30,4,256,0.009920148
4,4,30,4,256,0.006294647
5,4,30,4,256,0.006009105
6,4,30,4,256,0.006181311
7,4,30,4,256,0.011760821
8,4,30,4,256,0.006024851
9,4,30,4,256,0.014005797
0,4,30,4,512,0.007964518
1,4,30,4,512,0.009828893
2,4,30,4,512,0.005249471
3,4,30,4,512,0.004639587
4,4,30,4,512,0.003341893
5,4,30,4,512,0.009382441
6,4,30,4,512,0.004228956
7,4,30,4,512,0.006132648
8,4,30,4,512,0.002468085
0,4,40,4,128,0.005458855
2,4,40,4,128,0.004902175
5,4,40,4,128,0.005205768
7,4,40,4,128,0.007547832
8,4,40,4,128,0.002140219
9,4,40,4,128,0.004944248
0,4,40,4,256,0.005138305
1,4,40,4,256,0.002009513
2,4,40,4,256,0.002024947
3,4,40,4,256,0.003296907
4,4,40,4,256,0.002321975
5,4,40,4,256,0.003179951
6,4,40,4,256,0.003440188
7,4,40,4,256,0.00238853
8,4,40,4,256,0.003366678
0,4,40,4,512,0.003972981
1,4,40,4,512,0.002881052
2,4,40,4,512,0.002132997
3,4,40,4,512,0.003038005
5,4,40,4,512,0.006096218
6,4,40,4,512,0.004433132
7,4,40,4,512,0.002599363
8,4,40,4,512,0.00318444
9,4,40,4,512,0.003680287
0,4,50,4,128,0.003656895
1,4,50,4,128,0.001065076
2,4,50,4,128,0.002989813
3,4,50,4,128,0.011342655
4,4,50,4,128,0.002129087
5,4,50,4,128,0.001790708
6,4,50,4,128,0.006467187
7,4,50,4,128,0.002060295
8,4,50,4,128,0.005777299
9,4,50,4,128,0.002476972
0,4,50,4,256,0.00230409
1,4,50,4,256,0.001384942
2,4,50,4,256,0.00595936
3,4,50,4,256,0.005462767
4,4,50,4,256,0.000988293
5,4,50,4,256,0.003467172
6,4,50,4,256,0.002210565
7,4,50,4,256,0.002402184
8,4,50,4,256,0.001110723
9,4,50,4,256,0.001597887
0,4,50,4,512,0.002174074
1,4,50,4,512,0.00359993
2,4,50,4,512,0.002152151
3,4,50,4,512,0.005097608
4,4,50,4,512,0.004711212
5,4,50,4,512,0.001314885
6,4,50,4,512,0.002741331
7,4,50,4,512,0.004739318
8,4,50,4,512,0.001751127
9,4,50,4,512,0.001114048
